time,theta,Cd,Cip
0,0,0.08,0.001301706
0.004,0.001096594,0.08,0.027462836
0.008,0.002193015,0.084777816,0.059177717
0.012,0.003289089,0.080942979,0.071005387
0.016,0.004384644,0.078051592,0.070539761
0.02,0.005479507,0.076182846,0.069899182
0.024,0.006573504,0.074564204,0.069349916
0.028,0.007666463,0.073550461,0.068662015
0.032,0.008758212,0.072563586,0.068141662
0.036,0.009848577,0.071931272,0.067912937
0.04,0.010937388,0.071188221,0.067585291
0.044,0.012024471,0.070325088,0.067396802
0.048,0.013109656,0.069718011,0.067134316
0.052,0.01419277,0.06920053,0.067400838
0.056,0.015273643,0.069058664,0.067129075
0.06,0.016352104,0.06843025,0.067082491
0.064,0.017427984,0.068219041,0.067169084
0.068,0.018501111,0.067900921,0.067055632
0.072,0.019571316,0.067833223,0.067039211
0.076,0.020638431,0.067458991,0.066740795
0.08,0.021702287,0.067685805,0.066785751
0.084,0.022762716,0.067753208,0.066824526
0.088,0.02381955,0.067424177,0.066356603
0.092,0.024872623,0.067138623,0.065914731
0.096,0.025921768,0.067166991,0.065305089
0.1,0.02696682,0.067067687,0.064645904
0.104,0.028007614,0.0670427,0.064174912
0.108,0.029043984,0.066741512,0.063716184
0.112,0.030075769,0.067149341,0.06304233
0.116,0.031102804,0.066552484,0.06205593
0.12,0.032124928,0.066919868,0.061328454
0.124,0.033141978,0.066801988,0.060209153
0.128,0.034153795,0.06690637,0.059525251
0.132,0.035160219,0.066673905,0.058420518
0.136,0.036161091,0.066626164,0.057410801
0.14,0.037156253,0.066534832,0.056292731
0.144,0.038145547,0.066402752,0.055132529
0.148,0.039128817,0.066345459,0.053792657
0.152,0.040105909,0.065871131,0.052626174
0.156,0.041076667,0.065429032,0.051140294
0.16,0.042040939,0.065626179,0.050209943
0.164,0.042998572,0.065861985,0.048920429
0.168,0.043949415,0.065534067,0.047636446
0.172,0.044893318,0.065191999,0.046250674
0.176,0.045830132,0.06432835,0.044473166
0.18,0.046759709,0.064586982,0.043258672
0.184,0.047681902,0.064126568,0.041832012
0.188,0.048596565,0.063870864,0.040527011
0.192,0.049503555,0.06345213,0.039035814
0.196,0.050402727,0.0630332,0.037487827
0.2,0.05129394,0.062554081,0.036125257
0.204,0.052177053,0.062446285,0.034714881
0.208,0.053051927,0.06228065,0.03329595
0.212,0.053918423,0.061936152,0.031642353
0.216,0.054776405,0.061274258,0.03027687
0.22,0.055625737,0.061199472,0.029046717
0.224,0.056466285,0.060108429,0.027510449
0.228,0.057297916,0.060145488,0.026414597
0.232,0.0581205,0.059602089,0.024941925
0.236,0.058933905,0.058687602,0.023420784
0.24,0.059738004,0.057893508,0.021969571
0.244,0.06053267,0.057358594,0.020680919
0.248,0.061317777,0.057265235,0.019540956
0.252,0.062093202,0.055638208,0.017812503
0.256,0.062858821,0.055583251,0.01661172
0.26,0.063614513,0.055208691,0.015464035
0.264,0.064360161,0.054746542,0.014223711
0.268,0.065095645,0.054093357,0.012982976
0.272,0.06582085,0.053604487,0.011932583
0.276,0.066535661,0.052540915,0.010595573
0.28,0.067239965,0.051826648,0.00949699
0.284,0.067933651,0.051306775,0.008487165
0.288,0.06861661,0.050446547,0.007325264
0.292,0.069288733,0.04952006,0.006239802
0.296,0.069949915,0.04900473,0.005263123
0.3,0.070600051,0.047772694,0.004276658
0.304,0.071239039,0.047065145,0.003403197
0.308,0.071866777,0.046612723,0.002438299
0.312,0.072483166,0.046060444,0.001641175
0.316,0.073088109,0.045233893,0.000694854
0.32,0.073681511,0.044207001,-0.000197554
0.324,0.074263278,0.043541871,-0.000966504
0.328,0.074833318,0.042637537,-0.001692165
0.332,0.075391541,0.041588636,-0.002424914
0.336,0.075937858,0.040719746,-0.003115554
0.34,0.076472184,0.039652569,-0.003796331
0.344,0.076994434,0.038753913,-0.004421724
0.348,0.077504526,0.037702643,-0.005025754
0.352,0.078002379,0.037363849,-0.005489429
0.356,0.078487915,0.036377261,-0.006016004
0.36,0.078961056,0.035754284,-0.006464995
0.364,0.079421729,0.034193777,-0.006961582
0.368,0.07986986,0.033912993,-0.007402714
0.372,0.080305378,0.032949082,-0.007698231
0.376,0.080728215,0.032517138,-0.008059798
0.38,0.081138305,0.031572424,-0.008313686
0.384,0.081535582,0.031209055,-0.008580172
0.388,0.081919983,0.029832511,-0.00878795
0.392,0.082291448,0.028812807,-0.008959567
0.396,0.082649919,0.028133136,-0.009021702
0.4,0.082995338,0.026912406,-0.009166203
0.404,0.083327651,0.02579342,-0.009268998
0.408,0.083646806,0.024964791,-0.009276943
0.412,0.083952752,0.024303635,-0.009260067
0.416,0.084245441,0.023205329,-0.009250597
0.42,0.084524826,0.02258685,-0.009128539
0.424,0.084790864,0.021705564,-0.00901621
0.428,0.085043513,0.020959311,-0.008839586
0.432,0.085282732,0.01999833,-0.008642031
0.436,0.085508484,0.019238323,-0.008407424
0.44,0.085720734,0.018374758,-0.008132689
0.444,0.085919447,0.017653578,-0.007821516
0.448,0.086104592,0.016883404,-0.007476555
0.452,0.086276141,0.016113129,-0.007096499
0.456,0.086434065,0.015496939,-0.006682319
0.46,0.08657834,0.014623517,-0.006235577
0.464,0.086708944,0.013872662,-0.005761172
0.468,0.086825856,0.013130713,-0.005242588
0.472,0.086929056,0.012410106,-0.004694649
0.476,0.08701853,0.01165167,-0.004118882
0.48,0.087094262,0.010935256,-0.003508899
0.484,0.087156241,0.010230922,-0.00286793
0.488,0.087204457,0.009536794,-0.002196257
0.492,0.087238903,0.008863099,-0.001493648
0.496,0.087259572,0.008197432,-0.000761573
0.5,0.087266463,0.007549123,-3.78332E-18
0.504,0.087259572,0.006925209,0.000790433
0.508,0.087238903,0.006314034,0.001609409
0.512,0.087204457,0.005696855,0.002456195
0.516,0.087156241,0.005120831,0.003329711
0.52,0.087094262,0.004555425,0.004229089
0.524,0.08701853,0.003988311,0.005156824
0.528,0.086929056,0.003440063,0.006109232
0.532,0.086825856,0.002908376,0.007088988
0.536,0.086708944,0.002397536,0.008087887
0.54,0.08657834,0.001900049,0.009111434
0.544,0.086434065,0.001355033,0.010159904
0.548,0.086276141,0.000945901,0.011229356
0.552,0.086104592,0.000520173,0.012315535
0.556,0.085919447,0.0000821,0.013430668
0.56,0.085720734,-0.000187398,0.014563279
0.564,0.085508484,-0.000684992,0.01570431
0.568,0.085282732,-0.001007171,0.016881643
0.572,0.085043513,-0.001331903,0.018060112
0.576,0.084790864,-0.001713094,0.019277353
0.58,0.084524826,-0.002006254,0.020500635
0.584,0.084245441,-0.00222823,0.021712117
0.588,0.083952752,-0.002631767,0.022973627
0.592,0.083646806,-0.002848273,0.024246555
0.596,0.083327651,-0.003094509,0.025532041
0.6,0.082995338,-0.003307743,0.026824747
0.604,0.082649919,-0.003653292,0.028174324
0.608,0.082291448,-0.003791688,0.029475498
0.612,0.081919983,-0.004120365,0.030813137
0.616,0.081535582,-0.004366925,0.032267023
0.62,0.081138305,-0.004230786,0.03352981
0.624,0.080728215,-0.00445224,0.034859751
0.628,0.080305378,-0.004470953,0.036251007
0.632,0.07986986,-0.004569759,0.037613681
0.636,0.079421729,-0.004588592,0.039024228
0.64,0.078961056,-0.004471262,0.040403947
0.644,0.078487915,-0.004571025,0.041809224
0.648,0.078002379,-0.004623183,0.043166866
0.652,0.077504526,-0.004615616,0.044606787
0.656,0.076994434,-0.004453979,0.045973112
0.66,0.076472184,-0.004474694,0.047378742
0.664,0.075937858,-0.004359676,0.048818724
0.668,0.075391541,-0.004074488,0.050391597
0.672,0.074833318,-0.004062509,0.051699299
0.676,0.074263278,-0.004034055,0.053112608
0.68,0.073681511,-0.003807827,0.054452804
0.684,0.073088109,-0.003641891,0.055868973
0.688,0.072483166,-0.003530593,0.057354842
0.692,0.071866777,-0.003396511,0.058807608
0.696,0.071239039,-0.003165839,0.060166287
0.7,0.070600051,-0.002922172,0.061559984
0.704,0.069949915,-0.0024701,0.062957195
0.708,0.069288733,-0.002241404,0.064313133
0.712,0.06861661,-0.001866697,0.065709259
0.716,0.067933651,-0.001606635,0.067052313
0.72,0.067239965,-0.001201419,0.068393054
0.724,0.066535661,-0.001045643,0.069618274
0.728,0.06582085,-0.000546385,0.071082332
0.732,0.065095645,-0.0000684,0.072389148
0.736,0.064360161,0.000394121,0.073593119
0.74,0.063614513,0.000998124,0.074934948
0.744,0.062858821,0.001397193,0.076179154
0.748,0.062093202,0.00172224,0.077362314
0.752,0.061317777,0.002372354,0.078673302
0.756,0.06053267,0.002640126,0.079841384
