time,forcex,moment,Cd,theta,omega,Cip,real_moment
0,0.009799486,-0.000386898,0.019634313,0,1.315947253,0.006248187,-0.000236975
0.004,0.19,-0.36,0.380685233,0.005263434,1.315681271,5.812617115,-0.2205
0.008,0.184257377,-0.35061362,0.369179276,0.010524741,1.31488343,5.65763022,-0.214750842
0.012,0.174704104,-0.34045985,0.350038276,0.015781793,1.313554053,5.488230911,-0.208531658
0.016,0.16291859,-0.314546862,0.326424744,0.021032465,1.311693679,5.063330852,-0.192659953
0.02,0.160214126,-0.298405271,0.321006062,0.026274636,1.309303058,4.794741473,-0.182773228
0.024,0.157712963,-0.283291769,0.315994717,0.031506184,1.306383158,4.541748187,-0.173516208
0.028,0.159207556,-0.273663483,0.318989293,0.036724997,1.302935158,4.375807176,-0.167618883
0.032,0.160809875,-0.264425722,0.322199709,0.041928963,1.298960453,4.215199667,-0.161960755
0.036,0.162269715,-0.25614546,0.325124655,0.04711598,1.294460649,4.069059479,-0.156889094
0.04,0.1627159,-0.2480686,0.326018634,0.052283951,1.289437565,3.925460728,-0.151942017
0.044,0.163951997,-0.24013335,0.328495285,0.057430786,1.283893232,3.783553791,-0.147081677
0.048,0.17020297,-0.235721394,0.341019776,0.062554404,1.277829891,3.696498772,-0.144379354
0.052,0.167791572,-0.226764983,0.336188283,0.067652736,1.271249994,3.537736466,-0.138893552
0.056,0.168111938,-0.219480538,0.336830171,0.072723719,1.264156199,3.404985593,-0.13443183
0.06,0.169071762,-0.212588454,0.33875328,0.077765304,1.256551375,3.278222656,-0.130210428
0.064,0.175257219,-0.208514525,0.351146503,0.082775453,1.248438596,3.194640725,-0.127715147
0.068,0.169588555,-0.198397171,0.339788729,0.08775214,1.239821142,3.01865191,-0.121518267
0.072,0.169071326,-0.191891569,0.338752407,0.092693354,1.230702495,2.898194308,-0.117533586
0.076,0.177772398,-0.188585099,0.356185931,0.097597097,1.221086343,2.82600074,-0.115508373
0.08,0.163714969,-0.176578135,0.328020375,0.102461386,1.210976572,2.624165309,-0.108154108
0.084,0.169761883,-0.173148386,0.34013601,0.107284257,1.20037727,2.550672706,-0.106053387
0.088,0.164514864,-0.164398006,0.329623049,0.112063758,1.18929272,2.399406497,-0.100693779
0.092,0.156450996,-0.155811865,0.313466232,0.116797957,1.177727405,2.251976374,-0.095434767
0.096,0.160802321,-0.151659904,0.322184573,0.121484942,1.165685998,2.16955607,-0.092891691
0.1,0.146327034,-0.14077452,0.293181796,0.126122817,1.153173369,1.992219482,-0.086224394
0.104,0.148964609,-0.135991483,0.298466458,0.130709707,1.140194574,1.902870372,-0.083294784
0.108,0.142673135,-0.128909825,0.285860819,0.135243759,1.126754861,1.782518245,-0.078957268
0.112,0.134593727,-0.121017655,0.269672866,0.139723139,1.112859663,1.652751877,-0.074123314
0.116,0.131250845,-0.114499136,0.262975045,0.144146036,1.098514596,1.543570841,-0.070130721
0.12,0.111075606,-0.103204694,0.222551805,0.148510664,1.08372546,1.372578682,-0.063212875
0.124,0.111138228,-0.09833238,0.222677276,0.152815256,1.068498233,1.289403609,-0.060228583
0.128,0.105349508,-0.092033989,0.211078958,0.157058074,1.05283907,1.189128435,-0.056370819
0.132,0.088925806,-0.081926564,0.178172322,0.161237401,1.036754302,1.042363296,-0.05018002
0.136,0.074007205,-0.072917274,0.148281317,0.165351549,1.020250431,0.912968377,-0.04466183
0.14,0.075434493,-0.069338584,0.15114104,0.169398855,1.003334128,0.853766437,-0.042469883
0.144,0.059451342,-0.060867347,0.119117095,0.173377681,0.986012232,0.736521105,-0.03728125
0.148,0.040679562,-0.050567368,0.081505835,0.177286421,0.968291746,0.60089017,-0.030972513
0.152,0.036677183,-0.045644206,0.073486642,0.181123493,0.950179832,0.532243033,-0.027957076
0.156,0.031695284,-0.040631069,0.063504876,0.184887348,0.931683812,0.464563756,-0.02488653
0.16,0.006436367,-0.029514982,0.012895948,0.188576462,0.912811163,0.330629791,-0.018077926
0.164,-0.005611488,-0.022359409,-0.011243213,0.192189345,0.893569514,0.245192499,-0.013695138
0.168,-0.017075431,-0.016111399,-0.034212445,0.195724536,0.873966644,0.17280115,-0.009868232
0.172,-0.027349252,-0.009823119,-0.054797139,0.199180607,0.854010477,0.102951133,-0.00601666
0.176,-0.043898483,-0.001902065,-0.087955285,0.20255616,0.833709081,0.019460696,-0.001165015
0.18,-0.048995255,0.002275993,-0.098167211,0.20584983,0.813070661,-0.022710027,0.001394045
0.184,-0.078396208,0.013284682,-0.157075152,0.209060287,0.792103561,-0.129137288,0.008136868
0.188,-0.084619445,0.018470591,-0.16954407,0.212186232,0.770816257,-0.17472304,0.011313237
0.192,-0.096437726,0.024061644,-0.193223254,0.215226401,0.749217354,-0.221233887,0.014737757
0.196,-0.118580807,0.032299987,-0.237589274,0.218179567,0.727315584,-0.28829942,0.019783742
0.2,-0.133491048,0.038930518,-0.267463529,0.221044534,0.705119799,-0.3368772,0.023844942
0.204,-0.148410131,0.045527913,-0.297355502,0.223820145,0.682638973,-0.381405844,0.027885847
0.208,-0.157943917,0.050484535,-0.316457458,0.226505278,0.659882194,-0.408830506,0.030921778
0.212,-0.175238846,0.057182243,-0.35110969,0.229098847,0.63685866,-0.446912776,0.035024124
0.216,-0.190469469,0.063469597,-0.381625864,0.231599804,0.613577679,-0.477918472,0.038875128
0.22,-0.206967471,0.069981926,-0.414681369,0.234007138,0.590048662,-0.506748236,0.04286393
0.224,-0.226273513,0.077000447,-0.453363079,0.236319875,0.56628112,-0.535110969,0.047162774
0.228,-0.2329445,0.08094989,-0.466729112,0.238537081,0.542284662,-0.538718773,0.049581808
0.232,-0.248025443,0.086802777,-0.496945389,0.24065786,0.518068988,-0.55187375,0.053166701
0.236,-0.261168464,0.092262488,-0.523278831,0.242681354,0.493643887,-0.558930034,0.056510774
0.24,-0.282677453,0.099626946,-0.566374379,0.244606745,0.469019233,-0.573437369,0.061021504
0.244,-0.297320072,0.105231392,-0.595712426,0.246433255,0.44420498,-0.573650345,0.064454227
0.248,-0.312517611,0.111027902,-0.626162315,0.248160146,0.419211159,-0.571193807,0.06800459
0.252,-0.326398907,0.116527498,-0.653974969,0.249786718,0.394047874,-0.563502614,0.071373093
0.256,-0.344444638,0.122985444,-0.690131513,0.251312316,0.368725296,-0.556512815,0.075328584
0.26,-0.353641723,0.127285536,-0.708558853,0.252736322,0.343253664,-0.536182654,0.077962391
0.264,-0.371753419,0.133617165,-0.744847563,0.25405816,0.317643272,-0.520859316,0.081840513
0.268,-0.382274265,0.138516161,-0.765927199,0.255277297,0.291904475,-0.496203387,0.084841149
0.272,-0.397188073,0.143997782,-0.795808601,0.256393239,0.266047677,-0.470147139,0.088198642
0.276,-0.412577611,0.14959311,-0.82664318,0.257405535,0.24008333,-0.440749796,0.09162578
0.28,-0.42581976,0.154902657,-0.853175236,0.258313776,0.214021931,-0.406851263,0.094877877
0.284,-0.438583308,0.16009174,-0.878748364,0.259117595,0.187874014,-0.369108599,0.098056191
0.288,-0.451576406,0.165324772,-0.904781419,0.259816667,0.16165015,-0.327968829,0.101261423
0.292,-0.46439299,0.17049864,-0.930460809,0.260410709,0.13536094,-0.283225794,0.104430417
0.296,-0.476794632,0.175644128,-0.95530882,0.260899482,0.109017011,-0.234988402,0.107582028
0.3,-0.488901384,0.180714407,-0.979565987,0.261282787,0.082629012,-0.183249947,0.110687574
0.304,-0.500523167,0.185763553,-1.002851467,0.261560469,0.05620761,-0.128136883,0.113780176
0.308,-0.512294304,0.190858837,-1.026436193,0.261732417,0.029763487,-0.069713135,0.116901038
0.312,-0.524001311,0.195964918,-1.049892429,0.261798561,0.003307333,-0.007953801,0.120028512
0.316,-0.535363847,0.201074648,-1.07265848,0.261758874,-0.023150159,0.057125474,0.123158222
0.32,-0.54629283,0.206080526,-1.09455586,0.261613372,-0.049598292,0.125436002,0.126224322
0.324,-0.556765155,0.211073929,-1.115538279,0.261362114,-0.076026376,0.196932505,0.129282781
0.328,-0.566653958,0.215993116,-1.135351549,0.261005202,-0.102423726,0.27149323,0.132295784
0.332,-0.576072103,0.220845058,-1.154221806,0.26054278,-0.128779672,0.349022578,0.135267598
0.336,-0.586084492,0.225892853,-1.174282694,0.259975034,-0.155083559,0.429919133,0.138359372
0.34,-0.59507061,0.230763017,-1.192287338,0.259302195,-0.181324755,0.513501634,0.141342348
0.344,-0.604299855,0.235643748,-1.210779112,0.258524534,-0.20749265,0.6000358,0.144331795
0.348,-0.611203085,0.240167287,-1.224610469,0.257642366,-0.233576668,0.688433246,0.147102463
0.352,-0.620554676,0.245192363,-1.243347377,0.256656046,-0.259566264,0.781040775,0.150180322
0.356,-0.627754309,0.249996723,-1.257772609,0.255565975,-0.285450931,0.875758383,0.153122993
0.36,-0.63588904,0.255014444,-1.274071408,0.254372593,-0.311220206,0.973982353,0.156196347
0.364,-0.642759381,0.259803821,-1.287836868,0.253076381,-0.336863671,1.074034504,0.15912984
0.368,-0.649360459,0.264455881,-1.30106283,0.251677865,-0.362370961,1.176048252,0.161979227
0.372,-0.652371405,0.268373776,-1.307095582,0.250177609,-0.387731764,1.276997306,0.164378938
0.376,-0.659755548,0.273422674,-1.321890498,0.24857622,-0.412935829,1.385592793,0.167471388
0.38,-0.663347882,0.277571028,-1.329088122,0.246874345,-0.437972966,1.491900849,0.170012255
