closetime,closetheta,omega,,,,,,time,Cd,real_moment,omega,theta,Cip,-0.17722321
0.001,0.001644923,1.644901597,,,,,,0,0.019634313,-0.000236975,1.644902,0,0.007810082,
0.002,0.003289782,1.64480419,,,,,,0.004,0.5,-9.425780548,1.644414579,0.008223317,11,
0.003,0.00493451,1.644641848,,,,,,0.008,0.521678223,-0.322813713,1.642856444,0.014796518,10.6258583,
0.004,0.006579044,1.644414579,,,,,,0.012,0.472854289,-0.302994051,1.640260645,0.021360372,9.957708235,
0.005,0.008223317,1.644122391,,,,,,0.016,0.45873551,-0.280415952,1.636628823,0.027910735,9.195288122,
0.006,0.009867267,1.643765296,,,,,,0.02,0.447419256,-0.26013643,1.63196327,0.034443469,8.505972719,
0.007,0.011510826,1.643343308,,,,,,0.024,0.450387844,-0.247084258,1.626266935,0.040954447,8.050990953,
0.008,0.013153932,1.642856444,,,,,,0.028,0.439017537,-0.232808653,1.619543415,0.047439558,7.554472472,
0.009,0.014796518,1.642304722,,,,,,0.032,0.452964005,-0.2242719,1.611796956,0.053894705,7.24265208,
0.01,0.01643852,1.641688165,,,,,,0.036,0.453320925,-0.213715109,1.603032452,0.060315811,6.86420068,
0.011,0.018079872,1.641006797,,,,,,0.04,0.459667944,-0.204559035,1.593255438,0.06669882,6.530049975,
0.012,0.019720512,1.640260645,,,,,,0.044,0.458204827,-0.195665797,1.58247209,0.073039701,6.203880223,
0.013,0.021360372,1.639449738,,,,,,0.048,0.447101588,-0.184894987,1.570689219,0.079334448,5.818724956,
0.014,0.022999389,1.638574109,,,,,,0.052,0.455802673,-0.177595671,1.557914267,0.085579086,5.543554989,
0.015,0.024637499,1.637633791,,,,,,0.056,0.435457056,-0.166407027,1.544155302,0.09176967,5.14843304,
0.016,0.026274636,1.636628823,,,,,,0.06,0.433474689,-0.158310384,1.529421016,0.097902291,4.851196721,
0.017,0.027910735,1.635559243,,,,,,0.064,0.397685952,-0.146008918,1.513720715,0.103973075,4.428305434,
0.018,0.029545732,1.634425094,,,,,,0.068,0.418488771,-0.141683755,1.497064316,0.109978187,4.249843603,
0.019,0.031179564,1.633226421,,,,,,0.072,0.364158114,-0.128027058,1.479462338,0.115913834,3.795055314,
0.02,0.032812164,1.63196327,,,,,,0.076,0.376572227,-0.122712647,1.460925901,0.121776267,3.591947182,
0.021,0.034443469,1.630635693,,,,,,0.08,0.308118665,-0.108550077,1.441466711,0.127561785,3.135069568,
0.022,0.036073414,1.629243741,,,,,,0.084,0.328211157,-0.104383243,1.42109706,0.133266731,2.972124213,
0.023,0.037701935,1.627787469,,,,,,0.088,0.250250521,-0.090536266,1.399829814,0.138887503,2.539277979,
0.024,0.039328967,1.626266935,,,,,,0.092,0.237426509,-0.083162822,1.377678405,0.144420551,2.295564504,
0.025,0.040954447,1.624682199,,,,,,0.096,0.191522291,-0.073133112,1.354656825,0.14986238,1.984978353,
0.026,0.04257831,1.623033323,,,,,,0.1,0.179761674,-0.066717103,1.330779615,0.155209553,1.778917255,
0.027,0.044200492,1.621320372,,,,,,0.104,0.118997439,-0.055452117,1.306061855,0.160458691,1.451089857,
0.028,0.04582093,1.619543415,,,,,,0.108,0.090448644,-0.04781992,1.28051916,0.165606481,1.226894891,
0.029,0.047439558,1.617702521,,,,,,0.112,0.059081847,-0.040422252,1.25416766,0.17064967,1.015753983,
0.03,0.049056313,1.615797762,,,,,,0.116,0.000695706,-0.030690964,1.227024002,0.175585073,0.754529146,
0.031,0.050671132,1.613829215,,,,,,0.12,-0.086095349,-0.017760406,1.199105329,0.180409573,0.426700011,
0.032,0.052283951,1.611796956,,,,,,0.124,-0.064914096,-0.016064682,1.170429275,0.185120122,0.376729597,
0.033,0.053894705,1.609701067,,,,,,0.128,-0.19661273,0.000181163,1.141013953,0.189713746,-0.004141645,
0.034,0.055503332,1.607541629,,,,,,0.132,-0.219167042,0.006034007,1.110877943,0.194187542,-0.134302654,
0.035,0.057109767,1.605318728,,,,,,0.136,-0.262405607,0.01302631,1.080040277,0.198538685,-0.281886178,
0.036,0.058713948,1.603032452,,,,,,0.14,-0.321647511,0.021928821,1.048520436,0.202764427,-0.460685576,
0.037,0.060315811,1.600682891,,,,,,0.144,-0.35275091,0.027800453,1.016338326,0.206862099,-0.566112313,
0.038,0.061915293,1.598270138,,,,,,0.148,-0.430309894,0.037484676,0.983514275,0.210829111,-0.738663872,
0.039,0.06351233,1.595794288,,,,,,0.152,-0.497465325,0.046528144,0.950069016,0.21466296,-0.885693201,
0.04,0.06510686,1.593255438,,,,,,0.156,-0.528109405,0.051948189,0.916023673,0.218361223,-0.953431591,
0.041,0.06669882,1.59065369,,,,,,0.16,-0.612787586,0.061488761,0.881399749,0.221921565,-1.085878149,
0.042,0.068288147,1.587989145,,,,,,0.164,-0.651429866,0.067804896,0.846219114,0.225341736,-1.149625303,
0.043,0.069874777,1.585261909,,,,,,0.168,-0.713978953,0.075308287,0.81050399,0.228619576,-1.222954653,
0.044,0.07145865,1.58247209,,,,,,0.172,-0.790220403,0.083785372,0.774276933,0.231753015,-1.299801253,
0.045,0.073039701,1.579619798,,,,,,0.176,-0.857152715,0.091826262,0.737560827,0.234740075,-1.356991663,
0.046,0.074617868,1.576705145,,,,,,0.18,-0.901885392,0.097772715,0.700378862,0.237578867,-1.372028504,
0.047,0.07619309,1.573728246,,,,,,0.184,-0.958499664,0.104496316,0.662754522,0.240267599,-1.387605806,
0.048,0.077765304,1.570689219,,,,,,0.188,-1.029523587,0.11214557,0.624711572,0.242804573,-1.403699366,
0.049,0.079334448,1.567588184,,,,,,0.192,-1.071802958,0.117675873,0.586274041,0.245188187,-1.382294322,
0.05,0.08090046,1.564425263,,,,,,0.196,-1.136974135,0.124966994,0.547466207,0.247416935,-1.370771509,
0.051,0.082463278,1.561200582,,,,,,0.2,-1.189526681,0.131316277,0.508312581,0.249489408,-1.337401638,
0.052,0.084022841,1.557914267,,,,,,0.204,-1.247679812,0.138002091,0.468837895,0.251404299,-1.296345617,
0.053,0.085579086,1.554566448,,,,,,0.208,-1.298982104,0.14409613,0.42906708,0.253160397,-1.2387679,
0.054,0.087131953,1.551157257,,,,,,0.212,-1.368496099,0.151647582,0.389025257,0.254756594,-1.182022435,
0.055,0.08868138,1.54768683,,,,,,0.216,-1.404509214,0.156738155,0.348737718,0.256191882,-1.095181459,
0.056,0.090227306,1.544155302,,,,,,0.22,-1.457873022,0.163089248,0.308229908,0.257465353,-1.007192627,
0.057,0.09176967,1.540562814,,,,,,0.224,-1.516969013,0.169771934,0.267527414,0.258576203,-0.910010951,
0.058,0.093308412,1.536909507,,,,,,0.228,-1.565559161,0.175816202,0.226655943,0.259523731,-0.798432921,
0.059,0.094843469,1.533195526,,,,,,0.232,-1.61829299,0.182278753,0.185641312,0.260307338,-0.67798972,
0.06,0.096374783,1.529421016,,,,,,0.236,-1.669808195,0.188567945,0.144509426,0.26092653,-0.545979673,
0.061,0.097902291,1.525586128,,,,,,0.24,-1.71478439,0.19449061,0.103286265,0.261380915,-0.402488654,
0.062,0.099425935,1.521691012,,,,,,0.244,-1.762009661,0.200633622,0.061997865,0.261670206,-0.24922573,
0.063,0.100945653,1.517735822,,,,,,0.248,-1.806376488,0.206629398,0.020670307,0.26179422,-0.085575898,
0.064,0.102461386,1.513720715,,,,,,0.252,-1.849465174,0.212638974,-0.020670307,0.26175288,0.088064774,
0.065,0.103973075,1.509645849,,,,,,0.256,-1.89046915,0.218558448,-0.061997865,0.261546211,0.271491828,
0.066,0.105480658,1.505511384,,,,,,0.26,-1.929158769,0.224483147,-0.103286265,0.261174343,0.464556717,
0.067,0.106984078,1.501317485,,,,,,0.264,-1.965102161,0.230214222,-0.144509426,0.260637513,0.666562315,
0.068,0.108483273,1.497064316,,,,,,0.268,-2.002003179,0.236136958,-0.185641312,0.259936058,0.878316462,
0.069,0.109978187,1.492752045,,,,,,0.272,-2.036889324,0.241937579,-0.226655943,0.259070422,1.098709481,
0.07,0.111468758,1.488380843,,,,,,0.276,-2.064592124,0.247310089,-0.267527414,0.258041152,1.325630707,
0.071,0.112954929,1.483950883,,,,,,0.28,-2.093385348,0.2530703,-0.308229908,0.256848897,1.562889908,
0.072,0.11443664,1.479462338,,,,,,0.284,-2.122656247,0.25882787,-0.348737718,0.255494411,1.808516145,
0.073,0.115913834,1.474915387,,,,,,0.288,-2.148239875,0.26449031,-0.389025257,0.253978549,2.061579058,
0.074,0.117386451,1.470310209,,,,,,0.292,-2.179005807,0.270313963,-0.42906708,0.252302269,2.323839363,
0.075,0.118854435,1.465646985,,,,,,0.296,-2.190668281,0.27514689,-0.468837895,0.250466629,2.584638122,
0.076,0.120317726,1.460925901,,,,,,0.3,-2.214129002,0.280776701,-0.508312581,0.24847279,2.859593861,
0.077,0.121776267,1.456147141,,,,,,0.304,-2.226086756,0.285751772,-0.547466207,0.246322009,3.134430753,
0.078,0.123230001,1.451310895,,,,,,0.308,-2.234361505,0.290778352,-0.586274041,0.244015647,3.415664189,
0.079,0.12467887,1.446417354,,,,,,0.312,-2.246148138,0.295698327,-0.624711572,0.241555158,3.701185474,
0.08,0.126122817,1.441466711,,,,,,0.316,-2.255945818,0.301464137,-0.662754522,0.238942099,4.003140054,
0.081,0.127561785,1.436459161,,,,,,0.32,-2.259871978,0.305712931,-0.700378862,0.236178118,4.290019533,
0.082,0.128995716,1.431394902,,,,,,0.324,-2.260093248,0.310395915,-0.737560827,0.233264963,4.586973914,
