,time,,,Cd,theta
,0,,,0.19,0
,0.004,,,0.19,0.008224183
2,0.008,1.533998497,-3.955931776,0.192095584,0.016445445
3,0.012,1.504507157,-3.244374384,0.188402519,0.024660863
4,0.016,1.353856911,-2.58330268,0.169537281,0.032867519
5,0.02,1.259534124,-2.1447864,0.157725672,0.041062498
6,0.024,1.219979015,-1.8553253,0.152772367,0.049242887
7,0.028,1.180777065,-1.679439422,0.147863287,0.057405781
8,0.032,1.203722954,-1.560757194,0.150736695,0.065548279
9,0.036,1.176965661,-1.471991264,0.147386002,0.073667487
10,0.04,1.219380141,-1.413824693,0.152697373,0.081760522
11,0.044,1.261659099,-1.381796316,0.157991773,0.089824508
12,0.048,1.317790736,-1.352513761,0.16502088,0.09785658
13,0.052,1.386010463,-1.339068716,0.173563723,0.105853884
14,0.056,1.452845433,-1.324223901,0.181933159,0.113813578
15,0.06,1.521993318,-1.313993585,0.190592231,0.121732835
16,0.064,1.634804931,-1.315683145,0.204719111,0.12960884
17,0.068,1.694144945,-1.307013454,0.212149988,0.137438797
18,0.072,1.776660196,-1.300672569,0.222482994,0.145219922
19,0.076,1.881338421,-1.304066167,0.235591367,0.152949451
20,0.08,1.954714257,-1.298549297,0.244779886,0.160624638
21,0.084,2.031153536,-1.296250666,0.254352026,0.168242755
22,0.088,2.122264669,-1.294800507,0.265761454,0.175801097
23,0.092,2.202802203,-1.292549481,0.2758468,0.183296978
24,0.096,2.274968757,-1.286000814,0.284883886,0.190727734
25,0.1,2.353275877,-1.283287911,0.294689927,0.198090725
26,0.104,2.422379407,-1.278035441,0.303343444,0.205383335
27,0.108,2.493456769,-1.271855544,0.312244136,0.212602974
28,0.112,2.574376868,-1.268458748,0.322377388,0.219747076
29,0.116,2.632858588,-1.261005514,0.329700785,0.226813103
30,0.12,2.703286006,-1.254985401,0.338520087,0.233798545
31,0.124,2.782571418,-1.250404741,0.348448635,0.240700919
32,0.128,2.83853763,-1.24175279,0.355457026,0.247517773
33,0.132,2.906126928,-1.234937214,0.363920924,0.254246685
34,0.136,2.970846128,-1.227482209,0.372025412,0.260885264
35,0.14,3.03435309,-1.218350855,0.379978097,0.267431152
36,0.144,3.098583596,-1.209115276,0.388021388,0.273882024
37,0.148,3.167721186,-1.200780492,0.396679171,0.280235586
38,0.152,3.234149333,-1.191311651,0.404997662,0.286489581
39,0.156,3.314405254,-1.183985747,0.415047743,0.292641789
40,0.16,3.372087978,-1.171871695,0.422271085,0.298690022
41,0.164,3.446036297,-1.163877802,0.431531293,0.304632132
42,0.168,3.519817568,-1.152905157,0.440770583,0.310466008
43,0.172,3.578663511,-1.140357276,0.44813959,0.316189576
44,0.176,3.672173403,-1.132234816,0.459849404,0.321800804
45,0.18,3.738277579,-1.118537714,0.468127327,0.327297698
46,0.184,3.818991124,-1.10734509,0.478234713,0.332678304
47,0.188,3.894618436,-1.095172378,0.487705174,0.337940712
48,0.192,3.98127051,-1.085354886,0.498556215,0.34308305
49,0.196,4.056159844,-1.073600602,0.507934262,0.348103493
50,0.2,4.136052523,-1.061662492,0.517938855,0.353000256
51,0.204,4.210821821,-1.049114438,0.527301871,0.3577716
52,0.208,4.275928248,-1.035276179,0.53545485,0.36241583
53,0.212,4.348665098,-1.021004332,0.544563351,0.366931295
54,0.216,4.42577464,-1.00862175,0.554219425,0.371316391
55,0.22,4.489228408,-0.99494498,0.562165449,0.37556956
56,0.224,4.558645859,-0.981734424,0.570858277,0.37968929
57,0.228,4.619507144,-0.967584177,0.578479656,0.383674119
58,0.232,4.682315762,-0.954772055,0.586344891,0.387522631
59,0.236,4.726983371,-0.937782151,0.591938411,0.391233458
60,0.24,4.777187601,-0.923060668,0.598225256,0.394805281
61,0.244,4.82352734,-0.909000284,0.604028168,0.398236831
62,0.248,4.871882797,-0.894620235,0.6100835,0.40152689
63,0.252,4.901581383,-0.878002873,0.613802517,0.404674289
64,0.256,4.907849916,-0.858467536,0.614587497,0.407677909
65,0.26,4.93945138,-0.843095861,0.618544803,0.410536682
66,0.264,4.967132151,-0.829144747,0.622011139,0.413249594
67,0.268,4.970601462,-0.81163572,0.622445585,0.41581568
68,0.272,4.989706595,-0.797333311,0.624838033,0.418234029
69,0.276,5.003251651,-0.782596409,0.626534218,0.420503782
70,0.28,5.004897185,-0.76732051,0.626740281,0.422624131
71,0.284,4.990652443,-0.749435567,0.624956477,0.424594324
72,0.288,4.968472916,-0.731820523,0.622179037,0.426413661
73,0.292,4.942812413,-0.713419127,0.61896569,0.428081495
74,0.296,4.900130723,-0.691715241,0.613620858,0.429597233
75,0.3,4.878778843,-0.676176665,0.61094706,0.430960338
76,0.304,4.855469887,-0.660441738,0.608028187,0.432170325
77,0.308,4.818337822,-0.642855686,0.603378309,0.433226763
78,0.312,4.771506799,-0.624156495,0.597513875,0.434129279
79,0.316,4.720885346,-0.605229049,0.591174783,0.43487755
80,0.32,4.677595888,-0.588799327,0.585753843,0.435471311
81,0.324,4.633813863,-0.573185476,0.580271221,0.435910351
82,0.328,4.604339472,-0.561274751,0.576580278,0.436194515
83,0.332,4.53706482,-0.542825569,0.568155783,0.4363237
84,0.336,4.486970157,-0.527522102,0.561882658,0.436297862
85,0.34,4.405853442,-0.506609467,0.551724785,0.436117009
86,0.344,4.335674644,-0.488702402,0.542936616,0.435781206
87,0.348,4.254301722,-0.469874143,0.532746659,0.435290572
88,0.352,4.191015894,-0.455243869,0.524821666,0.434645282
89,0.356,4.16598424,-0.448020746,0.521687067,0.433845564
90,0.36,4.086998481,-0.432031219,0.511796043,0.432891702
91,0.364,4.005058836,-0.415356307,0.501535118,0.431784037
92,0.368,3.929192529,-0.399830205,0.492034729,0.43052296
93,0.372,3.817728833,-0.378776893,0.478076642,0.429108921
94,0.376,3.756347388,-0.36721437,0.470390126,0.427542421
95,0.38,3.672499203,-0.351037713,0.459890203,0.425824018
96,0.384,3.580811653,-0.335403241,0.448408592,0.423954321
97,0.388,3.487271623,-0.319175847,0.436695004,0.421933996
98,0.392,3.404008583,-0.305265826,0.426268356,0.419763759
99,0.396,3.308070118,-0.28838826,0.414254423,0.417444382
