time,theta,Cd,forcex
0,0,0.019634313,0.009799486
0.004,0.001661339,0.050090162,0.025
0.008,0.003329066,0.11403704,0.056915887
0.012,0.005002938,0.105930913,0.052870118
0.016,0.006682707,0.101310676,0.050564159
0.02,0.008368125,0.098963322,0.049392594
0.024,0.01005894,0.097578767,0.048701563
0.028,0.0117549,0.09638521,0.048105858
0.032,0.01345575,0.094997944,0.047413474
0.036,0.015161234,0.095215342,0.047521977
0.04,0.016871094,0.094216954,0.047023682
0.044,0.01858507,0.094957198,0.047393138
0.048,0.020302901,0.095319206,0.047573816
0.052,0.022024323,0.096267475,0.048047097
0.056,0.023749071,0.097107755,0.048466481
0.06,0.025476879,0.097309961,0.048567401
0.064,0.027207479,0.098320284,0.049071654
0.068,0.028940601,0.09838433,0.049103619
0.072,0.030675975,0.099805957,0.049813153
0.076,0.032413327,0.101308714,0.050563179
0.08,0.034152383,0.102509509,0.051162496
0.084,0.035892869,0.103374268,0.051594097
0.088,0.037634508,0.104560746,0.052186268
0.092,0.039377022,0.106050588,0.052929848
0.096,0.041120132,0.106326922,0.053067767
0.1,0.042863556,0.108666985,0.054235692
0.104,0.044607015,0.10979871,0.054800536
0.108,0.046350224,0.110436265,0.05511874
0.112,0.0480929,0.111644103,0.055721572
0.116,0.049834759,0.112657506,0.056227361
0.12,0.051575514,0.113996055,0.056895431
0.124,0.053314879,0.115353861,0.057573112
0.128,0.055052565,0.116139827,0.057965388
0.132,0.056788285,0.117584767,0.058686557
0.136,0.058521748,0.118629782,0.059208124
0.14,0.060252665,0.11916991,0.059477702
0.144,0.061980744,0.121335974,0.060558785
0.148,0.063705694,0.120940996,0.060361651
0.152,0.065427222,0.12307726,0.06142786
0.156,0.067145035,0.122830548,0.061304727
0.16,0.06885884,0.123816493,0.061796812
0.164,0.070568343,0.12414592,0.061961229
0.168,0.072273249,0.123764883,0.061771053
0.172,0.073973262,0.125009185,0.062392084
0.176,0.075668088,0.125287929,0.062531205
0.18,0.077357431,0.126048341,0.062910727
0.184,0.079040995,0.12627462,0.063023663
0.188,0.080718483,0.126947103,0.063359299
0.192,0.0823896,0.126884737,0.063328172
0.196,0.084054047,0.125595653,0.06268479
0.2,0.085711529,0.126593768,0.06318295
0.204,0.087361749,0.127717786,0.063743947
0.208,0.08900441,0.12516388,0.062469293
0.212,0.090639215,0.127587519,0.063678931
0.216,0.092265867,0.125609533,0.062691718
0.22,0.09388407,0.126585087,0.063178617
0.224,0.095493527,0.12618738,0.062980121
0.228,0.097093943,0.125116727,0.062445758
0.232,0.098685021,0.124553468,0.062164636
0.236,0.100266466,0.123774529,0.061775867
0.24,0.101837982,0.122295822,0.061037845
0.244,0.103399276,0.123395389,0.061586639
0.248,0.104950052,0.122205597,0.060992813
0.252,0.106490017,0.121035321,0.060408729
0.256,0.108018877,0.121022667,0.060402413
0.26,0.109536341,0.117949738,0.058868714
0.264,0.111042116,0.115779276,0.057785437
0.268,0.112535912,0.114551212,0.05717251
0.272,0.114017437,0.114621615,0.057207648
0.276,0.115486402,0.114522363,0.057158111
0.28,0.116942519,0.110952019,0.055376152
0.284,0.1183855,0.111212084,0.055505951
0.288,0.119815058,0.107542936,0.05367468
0.292,0.121230907,0.105187877,0.05249927
0.296,0.122632763,0.10322256,0.051518379
0.3,0.124020343,0.101705006,0.050760969
0.304,0.125393363,0.098755755,0.049288997
0.308,0.126751543,0.097494174,0.048659342
0.312,0.128094603,0.095838287,0.047832889
0.316,0.129422264,0.093900914,0.046865946
0.32,0.13073425,0.09030567,0.04507156
0.324,0.132030285,0.087999051,0.043920326
0.328,0.133310094,0.085379637,0.042612977
0.332,0.134573405,0.082461207,0.041156388
0.336,0.135819946,0.080186183,0.040020924
0.34,0.137049449,0.077185229,0.038523148
0.344,0.138261645,0.074757341,0.037311389
0.348,0.139456269,0.071728391,0.03579964
0.352,0.140633057,0.068781675,0.034328934
0.356,0.141791745,0.066653201,0.033266613
0.36,0.142932073,0.064788704,0.032336042
0.364,0.144053783,0.059736091,0.029814283
0.368,0.145156619,0.056863892,0.028380769
0.372,0.146240325,0.055001564,0.027451281
0.376,0.147304649,0.051550008,0.025728609
0.38,0.14834934,0.046762119,0.023338974
0.384,0.149374152,0.044327082,0.022123647
0.388,0.150378837,0.040743281,0.020334971
0.392,0.151363152,0.038139912,0.01903563
0.396,0.152326855,0.035140635,0.017538691
0.4,0.153269709,0.031113181,0.015528589
0.404,0.154191475,0.027061005,0.013506148
0.408,0.15509192,0.024250459,0.012103404
0.412,0.155970813,0.019094901,0.009530265
0.416,0.156827925,0.01704753,0.008508422
0.42,0.157663029,0.01328482,0.006630454
0.424,0.158475901,0.008389925,0.004187412
0.428,0.159266321,0.005329094,0.002659751
0.432,0.16003407,0.001169726,0.00058381
0.436,0.160778933,-0.002353806,-0.001174784
0.44,0.161500698,-0.005455074,-0.002722627
0.444,0.162199154,-0.008895386,-0.004439687
0.448,0.162874095,-0.012948976,-0.006462834
0.452,0.163525317,-0.016158234,-0.008064574
0.456,0.16415262,-0.020954705,-0.010458493
0.46,0.164755805,-0.024196589,-0.012076518
0.464,0.165334679,-0.028259648,-0.01410439
0.468,0.165889049,-0.032176527,-0.016059305
0.472,0.166418729,-0.035998042,-0.017966623
0.476,0.166923532,-0.039638237,-0.019783444
0.48,0.167403278,-0.044117723,-0.022019155
0.484,0.167857788,-0.047757088,-0.023835562
0.488,0.168286886,-0.052330919,-0.026118362
0.492,0.168690403,-0.055523493,-0.027711775
0.496,0.169068169,-0.05952209,-0.029707475
0.5,0.169420021,-0.063102829,-0.031494622
0.504,0.169745796,-0.066950089,-0.033414789
0.508,0.170045339,-0.070868229,-0.035370333
0.512,0.170318494,-0.074289869,-0.037078074
0.516,0.170565113,-0.078101605,-0.038980511
0.52,0.170785048,-0.081712679,-0.040782798
