theta,Cd,Cip
0,0.019634313,0.004426784
0.003728981,0.237,2.148378428
0.007458496,0.236199455,2.152194439
0.011187954,0.225206706,2.196800401
0.014916763,0.211596757,2.062239796
0.01864433,0.202520418,1.980544531
0.022370061,0.202505263,1.925416735
0.026093361,0.201056177,1.878616855
0.029813637,0.199862116,1.833028351
0.033530293,0.20377792,1.810031597
0.037242733,0.206701534,1.793992476
0.040950363,0.20990434,1.771101741
0.044652586,0.21592439,1.759421694
0.048348806,0.220141063,1.742843665
0.052038427,0.224359593,1.726300421
0.055720855,0.230458638,1.70933846
0.059395493,0.23338133,1.691132794
0.063061748,0.239372083,1.67469395
0.066719023,0.245641652,1.660331286
0.070366726,0.251748333,1.647671956
0.074004263,0.254856078,1.62278981
0.077631042,0.256040417,1.593451558
0.081246471,0.269250355,1.593742691
0.084849959,0.271203486,1.566213847
0.088440917,0.274694003,1.541206085
0.092018756,0.277177051,1.514203833
0.095582889,0.289055495,1.508973782
0.099132729,0.288926286,1.474037626
0.102667694,0.28767874,1.440451032
0.106187199,0.298554008,1.432705646
0.109690663,0.30313346,1.40798475
0.113177506,0.296543171,1.361496081
0.116647152,0.304125905,1.347103313
0.120099024,0.310966031,1.327103297
0.123532549,0.307193792,1.290355104
0.126947154,0.310602105,1.268184473
0.130342271,0.317215161,1.246263639
0.133717332,0.320684219,1.223352409
0.137071773,0.31365252,1.186027844
0.140405032,0.316823764,1.157499983
0.14371655,0.321250603,1.135946613
0.147005769,0.310738571,1.091273495
0.150272135,0.31037704,1.064132692
0.153515098,0.319027682,1.050752315
0.15673411,0.320007819,1.024289906
0.159928625,0.310595428,0.982980755
0.163098103,0.30356761,0.94596957
0.166242004,0.305021772,0.922018215
0.169359794,0.307127398,0.901969112
0.172450941,0.296921494,0.866319887
0.175514918,0.301170594,0.844045732
0.178551199,0.301580384,0.817869037
0.181559266,0.298086211,0.792734629
0.1845386,0.28141828,0.748476466
0.187488691,0.284675021,0.729858313
0.190409028,0.286625031,0.709847887
0.193299108,0.274980845,0.673598371
0.19615843,0.26544782,0.642868103
0.1989865,0.256092206,0.610860423
0.201782824,0.258271182,0.594354844
0.204546918,0.2542053,0.572380156
0.207278297,0.242721832,0.539376715
0.209976486,0.239327185,0.516543108
0.21264101,0.229263993,0.487047712
0.215271403,0.228716343,0.471041669
0.217867201,0.216405822,0.441225892
0.220427947,0.215805795,0.42360631
0.222953187,0.204299071,0.396379952
0.225442475,0.185306939,0.363914447
0.227895368,0.183656441,0.346951583
0.230311429,0.179851899,0.328967176
0.232690227,0.166784264,0.304019134
0.235031337,0.152945388,0.278255089
0.237334339,0.151931981,0.263200493
0.239598817,0.140470693,0.241510558
0.241824364,0.135808588,0.225499075
0.244010577,0.122408586,0.204789712
0.246157059,0.113235377,0.185634233
0.248263419,0.105706926,0.168793923
0.250329274,0.095909859,0.151914379
0.252354245,0.086175953,0.134979962
0.25433796,0.07111546,0.117248025
0.256280054,0.065186569,0.103214341
0.258180166,0.052752573,0.087447513
0.260037945,0.042788484,0.073245466
0.261853044,0.032118249,0.059732901
0.263625125,0.019373757,0.045183279
0.265353853,0.008663703,0.032796135
0.267038904,-0.001756524,0.021259275
0.268679959,-0.01408933,0.009600589
0.270276704,-0.023792658,-0.000813735
0.271828836,-0.035250296,-0.01059002
0.273336055,-0.04783438,-0.020413256
0.274798071,-0.058411756,-0.028648131
0.276214601,-0.069146758,-0.03628675
0.277585367,-0.08160515,-0.04425683
0.278910101,-0.092221664,-0.050448367
0.280188541,-0.101627064,-0.055847843
0.281420432,-0.114513252,-0.061390321
0.282605528,-0.125643845,-0.065608525
0.283743589,-0.136625044,-0.069561243
0.284834383,-0.148094011,-0.07309255
0.285877687,-0.158893493,-0.075604649
0.286873284,-0.169761628,-0.0776443
0.287820966,-0.180655487,-0.078788159
0.288720532,-0.193230716,-0.079888742
0.289571788,-0.204478655,-0.079959553
0.290374551,-0.215432902,-0.079085785
0.291128643,-0.22768364,-0.078265288
0.291833895,-0.238288824,-0.076341491
0.292490146,-0.249476072,-0.073933223
0.293097244,-0.260242048,-0.070788658
0.293655043,-0.270460823,-0.066982641
0.294163408,-0.281292052,-0.062645092
0.29462221,-0.291559183,-0.057582525
0.295031329,-0.30174499,-0.052004174
0.295390653,-0.312302502,-0.045852673
0.29570008,-0.322746518,-0.039119127
