time,theta,omega,real_moment,Cd,Cip
0,0,0.747699052,-0.000236975,0.019634313,0.003550115
0.004,0.002991516,0.748020556,-0.07858375,0.200360649,1.177765184
0.008,0.005983855,0.748110233,-0.078659911,0.185945264,1.17904797
0.012,0.008976089,0.747967815,-0.078885318,0.174989044,1.182201546
0.016,0.011967288,0.747593105,-0.07410514,0.164027442,1.110007844
0.02,0.014956524,0.746985977,-0.07045836,0.156484309,1.05452629
0.024,0.017942866,0.74614638,-0.067831179,0.151541396,1.014065091
0.028,0.020925385,0.745074334,-0.065459269,0.148874938,0.977199381
0.032,0.023903151,0.74376993,-0.06396758,0.148381418,0.953259121
0.036,0.026875235,0.742233334,-0.062042106,0.14623499,0.922655166
0.04,0.029840708,0.740464783,-0.060418113,0.144576055,0.896363157
0.044,0.032798644,0.738464589,-0.059199249,0.145314674,0.875907614
0.048,0.035748117,0.736233134,-0.058186398,0.145346457,0.858320054
0.052,0.038688201,0.733770874,-0.056955258,0.145494863,0.837349414
0.056,0.041617977,0.731078338,-0.055825599,0.145443624,0.81772964
0.06,0.044536522,0.728156126,-0.054869529,0.146536168,0.800512596
0.064,0.04744292,0.725004912,-0.053747193,0.146654238,0.780744926
0.068,0.050336257,0.721625443,-0.052367349,0.145472008,0.757155106
0.072,0.053215621,0.718018536,-0.051416503,0.146031575,0.739691485
0.076,0.056080103,0.714185082,-0.050278223,0.147580428,0.719454154
0.08,0.0589288,0.710126043,-0.048930014,0.145728478,0.696182679
0.084,0.061760812,0.705842454,-0.048001279,0.147527347,0.678848738
0.088,0.064575242,0.70133542,-0.046172002,0.14400899,0.648809068
0.092,0.067371199,0.696606119,-0.045060948,0.143970566,0.628926708
0.096,0.070147796,0.691655798,-0.043840251,0.143602589,0.607540844
0.1,0.072904152,0.686485776,-0.041968856,0.138461636,0.577259521
0.104,0.075639391,0.681097443,-0.040458028,0.137144186,0.55211099
0.108,0.078352643,0.675492258,-0.039292375,0.136711833,0.531791127
0.112,0.081043042,0.66967175,-0.037944262,0.13660714,0.509120417
0.116,0.083709732,0.663637517,-0.036106651,0.131393899,0.480098747
0.12,0.08635186,0.657391228,-0.034215847,0.126095555,0.450675165
0.124,0.088968581,0.650934618,-0.032585928,0.123051061,0.424991152
0.128,0.091559059,0.644269492,-0.031567504,0.124022734,0.407493086
0.132,0.094122462,0.637397722,-0.029866311,0.11923745,0.381420931
0.136,0.096657968,0.630321246,-0.027858028,0.112604883,0.351823425
0.14,0.099164761,0.62304207,-0.026334942,0.109851553,0.328747278
0.144,0.101642037,0.615562266,-0.024816736,0.105936788,0.306075861
0.148,0.104088995,0.607883972,-0.023002048,0.099368759,0.28015581
0.152,0.106504847,0.60000939,-0.021477998,0.095778867,0.258204782
0.156,0.108888811,0.591940786,-0.019610043,0.089519179,0.232578332
0.16,0.111240117,0.583680491,-0.017967728,0.084413304,0.210126469
0.164,0.113558003,0.575230899,-0.016359145,0.078663912,0.188545098
0.168,0.115841715,0.566594466,-0.014305592,0.068969422,0.162401704
0.172,0.118090513,0.557773709,-0.012859579,0.065910288,0.143713389
0.176,0.120303663,0.548771209,-0.011275752,0.060895469,0.123979327
0.18,0.122480444,0.539589603,-0.009696294,0.05410776,0.104829078
0.184,0.124620144,0.530231591,-0.007579133,0.044478007,0.080518844
0.188,0.126722065,0.520699932,-0.005960307,0.036433067,0.062182558
0.192,0.128785516,0.51099744,-0.004213889,0.030211287,0.043143392
0.196,0.13080982,0.501126988,-0.001417952,0.011659453,0.014237109
0.2,0.132794312,0.491091507,-0.001404093,0.019958498,0.013815629
0.204,0.134738336,0.480893982,0.00038149,0.011201531,-0.003675744
0.208,0.136641252,0.470537452,0.001989737,0.003070641,-0.018758678
0.212,0.138502428,0.460025012,0.003654364,-0.005468388,-0.033682607
0.216,0.140321248,0.449359807,0.00548887,-0.014770503,-0.049418502
0.22,0.142097107,0.438545037,0.007276608,-0.024374346,-0.063937496
0.224,0.143829413,0.427583952,0.009092195,-0.032685148,-0.07789374
0.228,0.145517588,0.416479851,0.010854791,-0.044163039,-0.090579078
0.232,0.147161066,0.405236084,0.012320849,-0.051482553,-0.100037121
0.236,0.148759295,0.393856048,0.013952072,-0.060413807,-0.110100337
0.24,0.150311737,0.382343188,0.015647775,-0.070566401,-0.119872175
